main_id,coo_bibcode,object_id,ra_in,dec_in,_source_set,_survey,object_id_clean,row_key
[VV2006] J143515.7+023221,2020yCat.1350....0G,39627848796865926,218.81524309641208,2.539342829883609,filtered_data,desi,39627848796865926,248
SHOC 472,2020yCat.1350....0G,39627854832472157,218.69669457453583,2.822520137449703,filtered_data,desi,39627854832472157,249
[VV2006] J142923.9+024023,2020yCat.1350....0G,39627854811498859,217.34966031889869,2.673108775126802,filtered_data,desi,39627854811498859,250
PKS 1426+030,2020ApJS..249....3A,39627854811496921,217.26708721764132,2.861212892386511,filtered_data,desi,39627854811496921,251
SDSS J143318.34+024205.1,2020yCat.1350....0G,39627854828275258,218.3264258178343,2.701437452723876,filtered_data,desi,39627854828275258,252
SDSS J143140.26+030154.0,2020yCat.1350....0G,39627860859686747,217.9177838105368,3.031693000380598,filtered_data,desi,39627860859686747,253
ZW VIII 437,2020yCat.1350....0G,39627854840856744,219.00840918544267,2.851621643726888,filtered_data,desi,39627854840856744,254
Gaia DR3 3659398314711482624,2020yCat.1350....0G,39627758078263539,211.5108249713432,-1.182965300535188,filtered_data,desi,39627758078263539,255
2QZ J140615.9-003715,2020yCat.1350....0G,39627776197657954,211.5666104483413,-0.6208175439335811,filtered_data,desi,39627776197657954,256
[VV2003c] J140630.1-001939,2020yCat.1350....0G,39627782237456774,211.62542276800065,-0.3276603945262272,filtered_data,desi,39627782237456774,257
[VV96] J141519.5+000534,2020yCat.1350....0G,39627788315003053,213.83152140562217,0.0927958955582118,filtered_data,desi,39627788315003053,258
2MASS J14254333+0247594,2020yCat.1350....0G,39627854794722995,216.43061022701863,2.79993303106753,filtered_data,desi,39627854794722995,259
2MASX J14304764+0323306,2020yCat.1350....0G,39627872922504669,217.69840341897432,3.3916871170574345,filtered_data,desi,39627872922504669,260
SHOC 463,2020yCat.1350....0G,39627872909919186,216.8429009541666,3.4189332170911597,filtered_data,desi,39627872909919186,261
LEDA 1267209,2020yCat.1350....0G,39627890903482888,210.8207636941248,4.363174644107343,filtered_data,desi,39627890903482888,262
[VV2003c] J140501.2+043126,2020ApJS..249....3A,39627896934895265,211.2548101762069,4.523929688189033,filtered_data,desi,39627896934895265,263
SDSS J135727.27+043603.3,2020yCat.1350....0G,39627896905532058,209.36366873134384,4.600938759729395,filtered_data,desi,39627896905532058,264
Z  46-38,2020yCat.1350....0G,39627896922312965,210.5508121747255,4.585720644540006,filtered_data,desi,39627896922312965,265
SDSS J135504.27+051247.5,2020yCat.1350....0G,39627914962014217,208.767794357688,5.21323395786554,filtered_data,desi,39627914962014217,266
[VV2006] J135831.8+050522,2020yCat.1350....0G,39627908955767854,209.63244242322048,5.089657636832033,filtered_data,desi,39627908955767854,267
NGC  5373,2020yCat.1350....0G,39627914970402694,209.2810949182684,5.251888068514177,filtered_data,desi,39627914970402694,268
NGC  5373,2020yCat.1350....0G,2305843036568946161,209.28108231121132,5.251892466433495,filtered_data,desi,2305843036568946161,269
LEDA 1280659,2020yCat.1350....0G,39627914974593730,209.36903019112592,5.2632864859822925,filtered_data,desi,39627914974593730,270
[VV2006] J140521.7+050744,2020yCat.1350....0G,39627915008147554,211.3403144133652,5.128995672417095,filtered_data,desi,39627915008147554,271
2MASX J13585043+0600032,2020yCat.1350....0G,39627933026879405,209.71011943705813,6.001084304851868,filtered_data,desi,39627933026879405,272
SDSS J121727.80-011548.5,2020yCat.1350....0G,39627757621086440,184.36584954615645,-1.2634972916046918,filtered_data,desi,39627757621086440,273
